Weather,Parameter,Top_All,Top_G-L,Top_G-M,Top_L-M,Bottom_All,Bottom_G-L,Bottom_G-M,Bottom_L-M,Inc_G-L,Inc_G-M,Inc_L-M
Rainy Day,Overall,2,5,3,3,1,3,3,3,3,4,9
Rainy Day,Position,3,7,3,10,4,5,4,9,12,8,19
Rainy Day,Rotation,4,6,5,8,0,2,1,2,7,8,9
Rainy Day,Velocity,6,8,6,10,2,3,4,5,6,9,17
Rainy Day,Angular Velocity,4,6,5,11,0,2,3,3,7,10,17
Rainy Night,Overall,4,4,5,11,3,3,6,7,8,8,16
Rainy Night,Position,6,6,7,14,3,3,6,8,10,13,22
Rainy Night,Rotation,6,6,6,16,6,6,6,16,12,12,32
Rainy Night,Velocity,6,6,6,16,8,8,8,16,14,14,32
Rainy Night,Angular Velocity,10,10,10,16,5,5,5,16,15,15,32
Sunny Day,Overall,1,3,1,3,1,2,2,1,2,5,5
Sunny Day,Position,2,3,4,5,4,5,7,6,6,11,14
Sunny Day,Rotation,5,6,7,9,3,5,3,5,4,9,12
Sunny Day,Velocity,4,4,5,10,2,2,4,6,8,7,16
Sunny Day,Angular Velocity,7,8,8,10,2,3,3,5,6,9,15
Clear Night,Overall,2,3,2,6,1,2,2,3,4,3,4
Clear Night,Position,9,10,11,11,2,2,4,5,7,12,11
Clear Night,Rotation,4,4,6,13,3,3,6,9,8,12,22
Clear Night,Velocity,5,7,5,10,2,3,3,5,11,8,9
Clear Night,Angular Velocity,6,7,8,11,2,3,3,4,9,12,13
