RQ,Category,G_All,G_P,G_R,G_V,G_A,L_All,L_P,L_R,L_V,L_A,M_All,M_P,M_R,M_V,M_A
RQ1,All,12.59,12.88,12.23,12.38,12.87,9.48,8.85,9.22,9.89,9.97,5.6,5.05,6.11,4.79,6.44
RQ2,Road1,12.64,12.7,12.23,13.08,12.55,11.89,13.36,12.0,10.47,11.72,5.89,4.72,9.69,4.22,4.92
RQ2,Road2,12.2,12.34,12.39,11.55,12.5,6.12,4.06,6.28,6.08,8.06,3.74,3.88,0.78,3.81,6.48
RQ2,Road3,12.38,12.78,11.67,12.55,12.5,6.46,4.5,6.41,8.59,6.33,5.89,5.38,6.33,4.61,7.23
RQ2,Road4,13.15,13.7,12.61,12.36,13.92,13.47,13.48,12.2,14.44,13.77,6.88,6.23,7.66,6.53,7.11
RQ3,Rainy Day,12.65,12.52,12.95,12.36,12.77,10.12,10.66,8.81,10.22,10.78,5.18,5.77,5.77,4.19,5.02
RQ3,Rainy Night,12.81,13.34,11.12,13.41,13.38,13.55,11.89,13.94,14.06,14.33,3.63,2.81,4.38,2.89,4.45
RQ3,Sunny Day,11.34,10.91,12.7,10.0,11.73,6.79,6.22,6.78,6.92,7.25,5.87,4.5,6.45,5.09,7.42
RQ3,Clear Night,13.56,14.77,12.12,13.77,13.59,7.47,6.64,7.36,8.38,7.52,7.71,7.12,7.86,7.0,8.86
